84.3 99.6
159.8 68.2
170.2 192.2
133.1 131.2
60.1 112.0
77.5 333.4
158.6 66.1
40.6 225.2
120.2 9.7
25.0 217.8
62.6 20.1
82.4 131.5
87.7 258.6
86.1 111.0
7.8 339.7
177.6 204.0
87.5 95.3
51.0 168.7
145.9 83.7
61.5 272.1
119.4 16.6
77.1 312.9
85.2 62.4
86.6 78.8
85.8 251.4
28.5 19.4
101.8 205.8
57.3 234.8
41.0 85.5
109.3 331.9
75.6 189.5
92.9 5.1
103.2 291.0
38.9 302.7
40.7 110.2
48.4 198.2
130.8 187.4
62.6 122.4
86.4 21.0
31.5 270.3
60.8 234.5
127.8 50.8
104.0 86.5
78.2 36.9
123.5 287.9
96.4 63.5
95.2 60.9
79.3 220.4
156.0 83.2
65.9 120.8
84.5 152.2
162.9 341.0
75.0 304.2
76.8 118.1
30.9 310.1
80.8 176.3
104.2 301.1
79.3 354.6
161.7 278.6
50.9 236.6
100.1 349.9
57.8 23.5
133.0 274.3
143.7 157.2
113.9 19.8
134.0 221.9
78.8 2.7
74.9 134.9
23.9 41.1
108.1 179.8
50.1 178.6
157.5 33.8
114.4 307.0
37.7 306.6
92.7 139.0
26.4 226.6
163.6 188.9
160.0 119.4
48.5 127.0
72.8 250.7
29.1 259.6
58.4 175.3
73.6 49.8
44.4 58.2
119.3 136.4
39.6 285.4
110.9 24.5
59.3 340.4
29.2 283.4
15.1 64.2
79.8 306.4
84.4 318.0
26.9 123.6
152.8 173.6
93.1 134.3
151.1 67.6
104.9 95.2
169.9 268.0
14.0 253.5
156.0 296.0
159.3 56.6
108.1 63.0
108.1 204.0
13.7 216.4
70.5 73.0
144.2 288.1
99.8 22.2
77.7 254.3
31.1 321.0
84.8 179.3
65.6 84.0
108.3 92.2
41.6 282.0
111.4 328.7
153.2 167.7
121.3 102.4
57.0 5.5
21.7 358.9
73.8 242.3
63.9 49.4
104.9 216.0
135.8 277.7
88.4 99.6
105.2 285.1
136.4 59.3
78.8 311.6
69.5 289.1
12.2 145.5
121.4 227.3
59.4 224.5
77.6 333.1
153.9 240.6
21.9 354.9
123.6 149.2
101.0 141.7
112.7 317.5
176.8 63.6
132.0 292.7
139.6 213.2
79.9 152.7
150.3 52.8
98.3 217.6
7.2 115.8
106.0 273.3
149.6 246.4
153.0 27.9
15.4 322.1
56.3 4.6
24.1 27.7
81.1 319.6
90.9 289.7
14.3 209.4
144.6 3.5
112.8 162.7
100.8 124.3
121.6 220.4
121.0 239.6
76.3 256.7
15.0 62.4
55.3 321.1
45.3 153.9
62.8 341.4
26.3 198.4
51.9 209.5
44.7 255.8
77.3 2.2
125.2 221.7
145.9 224.0
84.7 327.5
76.7 265.2
83.9 188.9
101.3 272.9
121.1 329.1
15.9 208.0
122.1 102.7
114.8 31.4
68.8 316.1
56.1 0.6
34.3 110.9
127.4 144.9
52.8 284.6
84.4 265.4
155.4 76.9
125.7 33.3
86.6 211.4
25.3 207.7
56.2 113.6
112.6 174.0
134.7 168.1
93.2 143.8
64.9 41.0
108.9 169.0
115.3 264.7
174.2 145.8
11.5 108.1
99.9 51.5
125.9 224.0
15.2 313.0
81.1 249.3
68.6 219.9
98.3 120.6
98.2 207.6
77.1 69.1
98.1 84.0
128.3 270.8
82.4 25.1
75.2 307.1
118.8 274.1
32.1 46.5
61.5 125.2
93.9 220.2
25.3 76.4
102.5 204.9
25.7 310.7
151.9 173.7
132.9 12.2
71.8 100.5
51.9 38.1
69.4 291.6
126.9 97.5
110.3 191.5
155.5 272.4
92.4 321.6
56.4 252.4
121.8 61.0
84.0 6.3
128.2 339.7
52.8 353.9
48.5 255.5
122.2 127.3
90.1 324.1
119.9 152.4
119.5 133.7
38.5 188.0
96.5 64.2
87.3 52.8
70.4 154.8
138.4 199.8
111.7 175.7
116.4 82.0
